# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon May 13 20:44:44 BST 2019 [seed=666]
# -overwrite -seed 666 testConstantPopulationSizeModel.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.logPopSize	N0	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
34000	-3928.582278432623	-72.96886375099258	-3855.6134146816303	58.841799970837826	1935.1582000291621	231.16901802774623	3.1086917800457297	22.391731920831816	16.770575067991253	0.29580258070570115	0.22490083696077084	0.23568990444534102	0.24360667788818646	8.184516771717544E-4	8.184516771717546E-4	-3855.6134146816303	0.0	-69.50251923835923
35000	-3922.4427177581792	-71.89895388289337	-3850.543763875286	63.16068391579016	1930.83931608421	235.36058206579182	3.1385916307066895	23.07135098463554	16.219971264666967	0.2902364175726047	0.18302657630533362	0.2511524069055466	0.2755845992165145	9.56504452279225E-4	9.565044522792252E-4	-3850.543763875286	0.0	-68.3062414654041
36000	-3922.98575171459	-74.48499102762578	-3848.5007606869644	73.00409672712173	1920.9959032728782	266.9018950294466	3.238972718918257	25.507504906391915	20.441273224668837	0.29464298533039507	0.19150229257609216	0.26257919935980595	0.25127552273370624	8.241388992549414E-4	8.241388992549413E-4	-3848.5007606869644	0.0	-70.20182844875902
37000	-3928.596793068424	-73.83881322925518	-3854.757979839169	67.26940351022523	1926.7305964897748	251.32749776012759	3.3148281644605184	27.517665065460104	20.035385153349534	0.2803122824146518	0.20061431940051322	0.2625153880887491	0.25655801009608525	8.369530379868503E-4	8.369530379868503E-4	-3854.757979839169	0.0	-69.32474274684678
38000	-3927.2201794950647	-77.93120297793693	-3849.2889765171276	67.47371512506662	1926.5262848749335	262.2787622902764	3.800112214268429	44.70620088546678	17.00233181288569	0.28288528215753794	0.20347945082068483	0.2443260750289541	0.2693091919928224	7.650953917241659E-4	7.650953917241658E-4	-3849.2889765171276	0.0	-72.13201497217253
39000	-3928.176639213125	-75.22581062789877	-3852.950828585226	69.15658594072963	1924.8434140592703	259.43041674371403	3.1072868538181453	22.360295277628325	23.72967511439087	0.28291739968992397	0.20501501220957252	0.25228738857140093	0.2597801995291019	8.40459668208653E-4	8.40459668208653E-4	-3852.950828585226	0.0	-70.98952159153117
40000	-3918.8813380606202	-73.6355486281611	-3845.2457894324593	62.771288823283115	1931.2287111767168	242.78040110553872	3.389217489161245	29.6427474213823	14.343216562340107	0.295929926342951	0.1995040376255017	0.2547958836310822	0.24977015240046432	8.998681645433357E-4	8.998681645433356E-4	-3845.2457894324593	0.0	-69.53621023809893
41000	-3925.7672572790216	-75.45819062364711	-3850.3090666553744	64.34125492516901	1929.658745074831	257.45387497909786	3.218123366748322	24.981195622643483	15.075589619747129	0.284167884430896	0.20432635690029616	0.24254706607454107	0.268958692594266	7.969593783754885E-4	7.969593783754886E-4	-3850.3090666553744	0.0	-71.92383977049501
42000	-3922.588438282473	-75.00767252616782	-3847.580765756305	68.53296374340903	1925.467036256591	262.30244613121135	2.9996308687873494	20.078124092824176	19.440199270075848	0.27990931298557664	0.191950202624763	0.25872113098714744	0.26941935340251216	8.065390954456569E-4	8.065390954456567E-4	-3847.580765756305	0.0	-71.59584135671248
43000	-3924.659144305867	-73.51725042726052	-3851.1418938786064	69.06164946347289	1924.9383505365272	261.981120327946	3.2220910024322977	25.080508794783707	13.43409712562407	0.27844895392491076	0.20323445214732846	0.25090517841332355	0.2674114155144364	8.452166372597324E-4	8.452166372597324E-4	-3851.1418938786064	0.0	-70.17061260248796
44000	-3929.361787120911	-80.03998683271423	-3849.3218002881968	78.14916802557609	1915.850831974424	330.3161002400221	3.508279201279933	33.390759541799454	13.57288346825674	0.27536131481160236	0.21521562257698196	0.2490341969382537	0.26038886567316116	6.370312632207978E-4	6.370312632207977E-4	-3849.3218002881968	0.0	-75.97773601750792
45000	-3935.345186578236	-81.45246451201679	-3853.892722066219	84.61520268116746	1909.3847973188326	344.8604932920514	3.738256650281242	42.02466258206486	21.07844037099791	0.26308699386853734	0.2058291292554259	0.25810135369497444	0.2729825231810615	6.09389809718037E-4	6.093898097180371E-4	-3853.892722066219	0.0	-75.64574207137939
46000	-3930.4763723349724	-81.37503232485506	-3849.1013400101174	74.01722030421331	1919.9827796957866	300.4494731101222	4.016874150125223	55.527264374811914	17.811290587360542	0.28254785617024486	0.20712019385262292	0.24628280329939314	0.26404914667773816	7.267814342226284E-4	7.267814342226286E-4	-3849.1013400101174	0.0	-74.70284924458528
47000	-3927.160408406016	-76.90435952503269	-3850.256048880983	79.75543254864237	1914.2445674513576	298.8742750690109	3.0861691620755485	21.893048406578814	19.524385916397765	0.27351009696972745	0.21224923062926063	0.2608501203642137	0.25339055203679733	7.096488369703912E-4	7.096488369703911E-4	-3850.256048880983	0.0	-73.34814784734053
48000	-3931.35879487834	-77.92872575720256	-3853.4300691211374	76.87409847956356	1917.1259015204364	301.5347064965038	3.626931370721741	37.59726734355905	12.218651378156055	0.2935278490240122	0.22493898318619424	0.2269333682431281	0.25459979954666456	6.707788959606847E-4	6.707788959606847E-4	-3853.4300691211374	0.0	-73.58968758160096
